Active Velocity,Angular diffusion coefficient,Average energy per patch
0.0630957,39.8107,0.396366
0.0630957,63.0957,0.447247
0.0630957,100,0.397438
0.1,0.01,0.250148
0.1,0.0158489,0.250551
0.1,0.0251189,0.250242
0.1,0.0398107,0.249348
0.1,0.0630957,0.249688
0.1,0.1,0.251497
0.1,0.158489,0.250863
0.1,0.251189,0.254696
0.1,0.398107,0.26146
0.1,0.630957,0.272049
0.1,1,0.279573
0.1,1.58489,0.29796
0.1,2.51189,0.317944
0.1,3.98107,0.324118
0.1,6.30957,0.331731
0.1,10,0.34039
0.1,15.8489,0.354722
0.1,25.1189,0.369831
0.1,39.8107,0.36489
0.1,63.0957,0.386538
0.1,100,0.396879
0.158489,0.01,0.250149
0.158489,0.0158489,0.250266
0.158489,0.0251189,0.250365
0.158489,0.0398107,0.250139
0.158489,0.0630957,0.250331
0.158489,0.1,0.24942
0.158489,0.158489,0.249718
0.158489,0.251189,0.248458
0.158489,0.398107,0.251275
0.158489,0.630957,0.253339
0.158489,1,0.263669
0.158489,1.58489,0.272611
0.158489,2.51189,0.279139
0.158489,3.98107,0.3043
0.158489,6.30957,0.322086
0.158489,10,0.323195
0.158489,15.8489,0.33267
0.158489,25.1189,0.347114
0.158489,39.8107,0.372744
0.158489,63.0957,0.359699
0.158489,100,0.389793
0.251189,0.01,0.250226
0.251189,0.0158489,0.250207
0.251189,0.0251189,0.250166
0.251189,0.0398107,0.250379
0.251189,0.0630957,0.250093
0.251189,0.1,0.250416
0.251189,0.158489,0.250537
0.251189,0.251189,0.250648
0.251189,0.398107,0.250172
0.251189,0.630957,0.249728
0.251189,1,0.253069
0.251189,1.58489,0.254918
0.251189,2.51189,0.262859
0.251189,3.98107,0.276555
0.251189,6.30957,0.283603
0.251189,10,0.293822
0.251189,15.8489,0.305607
0.251189,25.1189,0.311877
0.251189,39.8107,0.331652
0.251189,63.0957,0.33834
0.251189,100,0.345888
0.398107,0.01,0.250211
0.398107,0.0158489,0.250176
0.398107,0.0251189,0.250148
0.398107,0.0398107,0.250244
0.398107,0.0630957,0.250136
0.398107,0.1,0.250282
0.398107,0.158489,0.250163
0.398107,0.251189,0.25018
0.398107,0.398107,0.249939
0.398107,0.630957,0.251243
0.398107,1,0.250242
0.398107,1.58489,0.249517
0.398107,2.51189,0.251055
0.398107,3.98107,0.256905
0.398107,6.30957,0.264363
0.398107,10,0.265902
0.398107,15.8489,0.276513
0.398107,25.1189,0.289171
0.398107,39.8107,0.302521
0.398107,63.0957,0.307364
0.398107,100,0.318082
0.630957,0.01,0.250155
0.630957,0.0158489,0.250204
0.630957,0.0251189,0.250183
0.630957,0.0398107,0.250163
0.630957,0.0630957,0.250184
0.630957,0.1,0.250179
0.630957,0.158489,0.250176
0.630957,0.251189,0.250446
0.630957,0.398107,0.25013
0.630957,0.630957,0.249991
0.630957,1,0.250169
0.630957,1.58489,0.250302
0.630957,2.51189,0.2498
0.630957,3.98107,0.25051
0.630957,6.30957,0.253248
0.630957,10,0.254185
0.630957,15.8489,0.258882
0.630957,25.1189,0.269241
0.630957,39.8107,0.276104
0.630957,63.0957,0.276158
