Active Velocity,Angular diffusion coefficient,Average population per patch
5e-07,1e-05,0.3390666666666667
5e-07,1.99526e-05,0.3605191111111111
5e-07,3.98107e-05,0.34540133333333334
5e-07,7.94328e-05,0.3614302222222222
5e-07,0.000158489,0.3712808888888889
5e-07,0.000316228,0.34577199999999997
5e-07,0.000630957,0.29168577777777777
5e-07,0.00125893,0.3884928888888889
5e-07,0.00251189,0.3246164444444445
5e-07,0.00501187,0.31841555555555556
5e-07,0.01,0.33039822222222226
5e-07,0.0199526,0.34889911111111116
5e-07,0.0398107,0.34278400000000003
5e-07,0.0794328,0.2977955555555556
5e-07,0.158489,0.34210133333333337
5e-07,0.316228,0.3304528888888889
5e-07,0.630957,0.3631226666666667
5e-07,1.25893,0.34878977777777775
5e-07,2.51189,0.3348013333333333
5e-07,5.01187,0.38247466666666663
5e-07,10,0.3566537777777778
1.58114e-06,1e-05,0.38337200000000005
1.58114e-06,1.99526e-05,0.3488866666666667
1.58114e-06,3.98107e-05,0.36109066666666667
1.58114e-06,7.94328e-05,0.3173893333333333
1.58114e-06,0.000158489,0.3476462222222222
1.58114e-06,0.000316228,0.3520973333333334
1.58114e-06,0.000630957,0.3817586666666667
1.58114e-06,0.00125893,0.3331351111111111
1.58114e-06,0.00251189,0.3106942222222222
1.58114e-06,0.00501187,0.3558737777777778
1.58114e-06,0.01,0.3631417777777778
1.58114e-06,0.0199526,0.21426044444444442
1.58114e-06,0.0398107,0.35742355555555555
1.58114e-06,0.0794328,0.34854133333333337
1.58114e-06,0.158489,0.3443377777777778
1.58114e-06,0.316228,0.3793471111111111
1.58114e-06,0.630957,0.3368768888888889
1.58114e-06,1.25893,0.37358577777777774
1.58114e-06,2.51189,0.40359511111111107
1.58114e-06,5.01187,0.3551964444444445
1.58114e-06,10,0.3540075555555556
5e-06,1e-05,0.34823777777777776
5e-06,1.99526e-05,0.3008168888888889
5e-06,3.98107e-05,0.3350795555555555
5e-06,7.94328e-05,0.334028
5e-06,0.000158489,0.2505982222222222
5e-06,0.000316228,0.32364044444444445
5e-06,0.000630957,0.2658333333333333
5e-06,0.00125893,0.33163511111111116
5e-06,0.00251189,0.34567866666666663
5e-06,0.00501187,0.35507422222222224
5e-06,0.01,0.2921657777777778
5e-06,0.0199526,0.2521888888888889
5e-06,0.0398107,0.3282911111111111
5e-06,0.0794328,0.2870031111111111
5e-06,0.158489,0.3085462222222222
5e-06,0.316228,0.28206533333333333
5e-06,0.630957,0.2970364444444445
5e-06,1.25893,0.33195555555555556
5e-06,2.51189,0.3321133333333333
5e-06,5.01187,0.28182888888888885
5e-06,10,0.32189999999999996
1.58114e-05,1e-05,0.2693764444444444
1.58114e-05,1.99526e-05,0.2615337777777778
1.58114e-05,3.98107e-05,0.2519573333333333
1.58114e-05,7.94328e-05,0.23545422222222223
