5e-07, 0.001, 1, 1e-05, 0.666339, 0.444081, 0.773947, 0.598928, 0.800331, 0.640326, 76.29, 5820.63, 0.101644, 0.013127, 0.102195, 0.0131654, 
5e-07, 0.001, 1, 1.99526e-05, 0.666484, 0.444257, 0.759556, 0.577075, 0.811631, 0.65859, 81.1168, 6581.74, 0.098684, 0.0123399, 0.0985331, 0.0123492, 
5e-07, 0.001, 1, 3.98107e-05, 0.66636, 0.444113, 0.769735, 0.592453, 0.80367, 0.645767, 77.7153, 6041.88, 0.100615, 0.0129208, 0.100344, 0.0127898, 
5e-07, 0.001, 1, 7.94328e-05, 0.666399, 0.444143, 0.758977, 0.576128, 0.812066, 0.659336, 81.3218, 6613.83, 0.0988937, 0.0124041, 0.099314, 0.0125218, 
5e-07, 0.001, 1, 0.000158489, 0.666452, 0.4442, 0.752447, 0.566213, 0.816892, 0.667339, 83.5382, 6984.1, 0.0971096, 0.012031, 0.0973448, 0.0120553, 
5e-07, 0.001, 1, 0.000316228, 0.666267, 0.443966, 0.769497, 0.592, 0.803788, 0.64609, 77.7987, 6053.77, 0.100836, 0.0129405, 0.100457, 0.0128663, 
5e-07, 0.001, 1, 0.000630957, 0.666393, 0.444144, 0.805405, 0.648837, 0.772358, 0.59671, 65.6293, 4307.26, 0.109112, 0.0151931, 0.109582, 0.0153043, 
5e-07, 0.001, 1, 0.00125893, 0.666241, 0.443924, 0.740946, 0.548996, 0.82533, 0.681073, 87.4109, 7642.53, 0.0949206, 0.0115012, 0.0944461, 0.0113323, 
5e-07, 0.001, 1, 0.00251189, 0.666284, 0.44399, 0.783569, 0.613876, 0.792231, 0.627591, 73.0387, 5335.2, 0.104636, 0.0138887, 0.103764, 0.0136827, 
5e-07, 0.001, 1, 0.00501187, 0.666269, 0.443977, 0.787637, 0.620422, 0.788438, 0.621809, 71.6435, 5135.92, 0.104083, 0.0138216, 0.105227, 0.0140459, 
5e-07, 0.001, 1, 0.01, 0.666346, 0.444076, 0.77973, 0.607883, 0.795531, 0.632648, 74.3396, 5527.83, 0.102374, 0.0133392, 0.102325, 0.0132975, 
5e-07, 0.001, 1, 0.0199526, 0.666516, 0.444321, 0.7673, 0.588845, 0.805528, 0.648945, 78.5023, 6164.04, 0.100223, 0.0127615, 0.100738, 0.0128442, 
5e-07, 0.001, 1, 0.0398107, 0.666354, 0.444106, 0.77147, 0.595116, 0.802291, 0.643506, 77.1264, 5949.71, 0.10192, 0.013211, 0.100492, 0.0128851, 
5e-07, 0.001, 1, 0.0794328, 0.666448, 0.444203, 0.801386, 0.64227, 0.776324, 0.602688, 67.004, 4489.77, 0.10862, 0.0149102, 0.107495, 0.0147359, 
5e-07, 0.001, 1, 0.158489, 0.666105, 0.443764, 0.7719, 0.59586, 0.801779, 0.642742, 76.9728, 5930.04, 0.101488, 0.0130271, 0.100816, 0.0129375, 
5e-07, 0.001, 1, 0.316228, 0.666373, 0.444116, 0.779726, 0.607889, 0.795574, 0.632726, 74.3519, 5528.98, 0.103542, 0.0136824, 0.104091, 0.0137603, 
5e-07, 0.001, 1, 0.630957, 0.666462, 0.444111, 0.757829, 0.574415, 0.812878, 0.660954, 81.7026, 6675.48, 0.0971419, 0.0120156, 0.0983717, 0.0123042, 
5e-07, 0.001, 1, 1.25893, 0.666276, 0.443883, 0.767522, 0.58894, 0.805424, 0.648823, 78.4777, 6158.79, 0.0994108, 0.0125548, 0.100357, 0.0128201, 
5e-07, 0.001, 1, 2.51189, 0.665859, 0.443392, 0.776757, 0.603348, 0.798003, 0.636618, 75.3303, 5675.17, 0.101772, 0.0132255, 0.102435, 0.0133486, 
