Active Velocity,Angular diffusion coefficient,Average energy per agent
0.0630957,39.8107,0.168096
0.0630957,63.0957,0.139939
0.0630957,100,0.153045
0.1,0.01,0.318002
0.1,0.0158489,0.297999
0.1,0.0251189,0.281887
0.1,0.0398107,0.256034
0.1,0.0630957,0.232448
0.1,0.1,0.214421
0.1,0.158489,0.190322
0.1,0.251189,0.177958
0.1,0.398107,0.168564
0.1,0.630957,0.155449
0.1,1,0.14938
0.1,1.58489,0.148409
0.1,2.51189,0.146765
0.1,3.98107,0.1518
0.1,6.30957,0.156976
0.1,10,0.140969
0.1,15.8489,0.162009
0.1,25.1189,0.15087
0.1,39.8107,0.151029
0.1,63.0957,0.153059
0.1,100,0.148693
0.158489,0.01,0.371601
0.158489,0.0158489,0.356993
0.158489,0.0251189,0.339913
0.158489,0.0398107,0.316283
0.158489,0.0630957,0.294846
0.158489,0.1,0.265921
0.158489,0.158489,0.241151
0.158489,0.251189,0.215725
0.158489,0.398107,0.198708
0.158489,0.630957,0.178656
0.158489,1,0.167776
0.158489,1.58489,0.161771
0.158489,2.51189,0.157006
0.158489,3.98107,0.148046
0.158489,6.30957,0.144869
0.158489,10,0.143823
0.158489,15.8489,0.157089
0.158489,25.1189,0.145519
0.158489,39.8107,0.139046
0.158489,63.0957,0.161462
0.158489,100,0.144802
0.251189,0.01,0.41377
0.251189,0.0158489,0.405928
0.251189,0.0251189,0.393468
0.251189,0.0398107,0.375517
0.251189,0.0630957,0.353684
0.251189,0.1,0.325901
0.251189,0.158489,0.29884
0.251189,0.251189,0.273799
0.251189,0.398107,0.247485
0.251189,0.630957,0.223976
0.251189,1,0.20037
0.251189,1.58489,0.180579
0.251189,2.51189,0.16437
0.251189,3.98107,0.164234
0.251189,6.30957,0.150781
0.251189,10,0.153231
0.251189,15.8489,0.146612
0.251189,25.1189,0.156151
0.251189,39.8107,0.149839
0.251189,63.0957,0.15519
0.251189,100,0.153967
0.398107,0.01,0.444013
0.398107,0.0158489,0.441416
0.398107,0.0251189,0.434937
0.398107,0.0398107,0.422842
0.398107,0.0630957,0.406078
0.398107,0.1,0.383272
0.398107,0.158489,0.360306
0.398107,0.251189,0.335436
0.398107,0.398107,0.305775
0.398107,0.630957,0.275096
0.398107,1,0.249454
0.398107,1.58489,0.221031
0.398107,2.51189,0.203205
0.398107,3.98107,0.185474
0.398107,6.30957,0.167287
0.398107,10,0.159007
0.398107,15.8489,0.155107
0.398107,25.1189,0.148771
0.398107,39.8107,0.147848
0.398107,63.0957,0.147705
0.398107,100,0.141853
0.630957,0.01,0.465198
0.630957,0.0158489,0.46369
0.630957,0.0251189,0.461043
0.630957,0.0398107,0.455384
0.630957,0.0630957,0.446522
0.630957,0.1,0.431755
0.630957,0.158489,0.413721
0.630957,0.251189,0.391942
0.630957,0.398107,0.368588
0.630957,0.630957,0.340791
0.630957,1,0.309961
0.630957,1.58489,0.285734
0.630957,2.51189,0.252704
0.630957,3.98107,0.219231
0.630957,6.30957,0.203271
0.630957,10,0.184205
0.630957,15.8489,0.17037
0.630957,25.1189,0.158861
0.630957,39.8107,0.155633
0.630957,63.0957,0.151001
0.630957,100,0.153893
1,0.01,0.477794
1,0.0158489,0.477513
1,0.0251189,0.477099
1,0.0398107,0.474799
1,0.0630957,0.470746
1,0.1,0.462689
1,0.158489,0.451038
1,0.251189,0.436638
1,0.398107,0.417609
1,0.630957,0.395106
1,1,0.371274
1,1.58489,0.344454
1,2.51189,0.311054
1,3.98107,0.286367
1,6.30957,0.255522
1,10,0.228751
1,15.8489,0.203908
1,25.1189,0.189897
1,39.8107,0.177426
1,63.0957,0.169718
1,100,0.167856
1.58489,0.01,0.485706
1.58489,0.0158489,0.485884
1.58489,0.0251189,0.485752
1.58489,0.0398107,0.485321
1.58489,0.0630957,0.483849
1.58489,0.1,0.480828
1.58489,0.158489,0.475664
1.58489,0.251189,0.467224
1.58489,0.398107,0.455354
1.58489,0.630957,0.440109
1.58489,1,0.421854
1.58489,1.58489,0.399666
1.58489,2.51189,0.375603
1.58489,3.98107,0.345572
1.58489,6.30957,0.317768
1.58489,10,0.288656
1.58489,15.8489,0.258907
1.58489,25.1189,0.234339
1.58489,39.8107,0.217474
1.58489,63.0957,0.20896
1.58489,100,0.203449
2.51189,0.01,0.491113
2.51189,0.0158489,0.491122
2.51189,0.0251189,0.491199
2.51189,0.0398107,0.491131
2.51189,0.0630957,0.490898
2.51189,0.1,0.489892
2.51189,0.158489,0.487879
2.51189,0.251189,0.483815
2.51189,0.398107,0.4774
2.51189,0.630957,0.469755
2.51189,1,0.456672
2.51189,1.58489,0.442893
2.51189,2.51189,0.424907
2.51189,3.98107,0.402453
2.51189,6.30957,0.379957
2.51189,10,0.353537
2.51189,15.8489,0.323076
2.51189,25.1189,0.304312
2.51189,39.8107,0.277251
2.51189,63.0957,0.265532
2.51189,100,0.259287
3.98107,0.01,0.494479
3.98107,0.0158489,0.494558
3.98107,0.0251189,0.494559
3.98107,0.0398107,0.494527
3.98107,0.0630957,0.494561
3.98107,0.1,0.494307
3.98107,0.158489,0.493776
3.98107,0.251189,0.492506
3.98107,0.398107,0.489797
3.98107,0.630957,0.485515
3.98107,1,0.479466
3.98107,1.58489,0.470685
3.98107,2.51189,0.459454
3.98107,3.98107,0.444794
3.98107,6.30957,0.427496
3.98107,10,0.409558
3.98107,15.8489,0.387377
3.98107,25.1189,0.361174
3.98107,39.8107,0.343986
3.98107,63.0957,0.329559
3.98107,100,0.324591
6.30957,0.01,0.49671
6.30957,0.0158489,0.496692
6.30957,0.0251189,0.496705
6.30957,0.0398107,0.496734
6.30957,0.0630957,0.49675
6.30957,0.1,0.496694
6.30957,0.158489,0.49661
6.30957,0.251189,0.496178
6.30957,0.398107,0.495254
6.30957,0.630957,0.493586
6.30957,1,0.490678
6.30957,1.58489,0.486621
6.30957,2.51189,0.480312
6.30957,3.98107,0.472323
6.30957,6.30957,0.462786
6.30957,10,0.450174
6.30957,15.8489,0.435478
6.30957,25.1189,0.418012
6.30957,39.8107,0.403147
6.30957,63.0957,0.390238
6.30957,100,0.38865
10,0.01,0.498054
10,0.0158489,0.498061
10,0.0251189,0.498087
10,0.0398107,0.498062
10,0.0630957,0.498057
10,0.1,0.49808
10,0.158489,0.498071
10,0.251189,0.497985
10,0.398107,0.497695
10,0.630957,0.497039
10,1,0.495985
10,1.58489,0.494217
10,2.51189,0.491374
10,3.98107,0.487328
10,6.30957,0.482544
10,10,0.475104
10,15.8489,0.468006
10,25.1189,0.457141
10,39.8107,0.447229
10,63.0957,0.44085
10,100,0.43891
