time,M=225,M=14400
0,1.488888888888889,1.4917361111111112
10,1.488888888888889,1.4880555555555555
20,1.488888888888889,1.4840972222222222
30,1.488888888888889,1.4797916666666666
40,1.488888888888889,1.4740972222222222
50,1.488888888888889,1.4661805555555556
60,1.488888888888889,1.4574305555555556
70,1.488888888888889,1.4486805555555555
80,1.4844444444444445,1.4391666666666667
90,1.4844444444444445,1.4288194444444444
100,1.4844444444444445,1.4179861111111112
110,1.4844444444444445,1.4071527777777777
120,1.4844444444444445,1.3984722222222221
130,1.4844444444444445,1.3896527777777778
140,1.48,1.379513888888889
150,1.48,1.3713194444444445
160,1.48,1.3639583333333334
170,1.4755555555555555,1.358125
180,1.4755555555555555,1.3535416666666666
190,1.471111111111111,1.3490972222222222
200,1.4666666666666666,1.3458333333333334
210,1.4622222222222223,1.3444444444444446
220,1.4533333333333334,1.3434722222222222
230,1.4533333333333334,1.3429166666666668
240,1.4533333333333334,1.34375
250,1.4533333333333334,1.3446527777777777
260,1.4444444444444444,1.3472916666666668
270,1.4444444444444444,1.351388888888889
280,1.4444444444444444,1.3586805555555554
290,1.44,1.3716666666666666
300,1.4355555555555555,1.3886805555555555
310,1.431111111111111,1.41125
320,1.4266666666666667,1.4418055555555556
330,1.4266666666666667,1.477638888888889
340,1.4266666666666667,1.5160416666666667
350,1.4266666666666667,1.5504166666666668
360,1.4266666666666667,1.5811805555555556
370,1.4266666666666667,1.6069444444444445
380,1.4266666666666667,1.6266666666666667
390,1.4266666666666667,1.6410416666666667
400,1.4266666666666667,1.6505555555555556
410,1.4266666666666667,1.6571527777777777
420,1.4266666666666667,1.6611805555555557
430,1.4266666666666667,1.6634027777777778
440,1.4266666666666667,1.6645833333333333
450,1.4266666666666667,1.6649305555555556
460,1.4266666666666667,1.6650694444444445
470,1.4266666666666667,1.6650694444444445
480,1.4222222222222223,1.6649305555555556
490,1.4222222222222223,1.6649305555555556
500,1.4222222222222223,1.6647916666666667
510,1.4222222222222223,1.6647916666666667
520,1.4222222222222223,1.6647222222222222
530,1.4222222222222223,1.6644444444444444
540,1.4222222222222223,1.6638194444444445
550,1.4222222222222223,1.6634722222222222
