Active Velocity,Angular diffusion coefficient,Average population per patch
0.125594,0.001,0.0
0.125594,0.00158489,0.0
0.125594,0.00251189,0.0
0.125594,0.00398107,0.0
0.125594,0.00630957,0.0
0.125594,0.01,0.0
0.125594,0.0158489,0.0
0.125594,0.0251189,0.0
0.125594,0.0398107,0.0
0.125594,0.0630957,0.0
0.125594,0.1,0.0
0.125594,0.158489,0.0044444444444444444
0.125594,0.251189,0.0044444444444444444
0.125594,0.398107,0.10188133333333334
0.125594,0.630957,0.25148
0.125594,1,0.8864666666666667
0.125594,1.58489,1.136568888888889
0.125594,2.51189,1.27388
0.125594,3.98107,1.3315022222222224
0.125594,6.30957,1.3679911111111112
0.125594,10,1.3837777777777778
0.5,0.001,0.0
0.5,0.00158489,0.0
0.5,0.00251189,0.0
0.5,0.00398107,0.0
0.5,0.00630957,0.0
0.5,0.01,0.0
0.5,0.0158489,0.0
0.5,0.0251189,0.0
0.5,0.0398107,0.0
0.5,0.0630957,0.0
0.5,0.1,0.0044444444444444444
0.5,0.158489,0.0044444444444444444
0.5,0.251189,0.0044444444444444444
0.5,0.398107,0.3147431111111111
0.5,0.630957,0.5561022222222223
0.5,1,1.0095422222222221
0.5,1.58489,1.2127288888888887
0.5,2.51189,1.3245644444444444
0.5,3.98107,1.3805511111111113
0.5,6.30957,1.4160577777777779
0.5,10,1.4417422222222223
1.99054,0.001,0.0
1.99054,0.00158489,0.0
1.99054,0.00251189,0.0
1.99054,0.00398107,0.0
1.99054,0.00630957,0.0
1.99054,0.01,0.0
1.99054,0.0158489,0.0
1.99054,0.0251189,0.0
1.99054,0.0398107,0.0
1.99054,0.0630957,0.0
1.99054,0.1,0.0044444444444444444
1.99054,0.158489,0.0044444444444444444
1.99054,0.251189,0.0044444444444444444
1.99054,0.398107,0.5511111111111111
1.99054,0.630957,0.7677333333333334
1.99054,1,1.0882977777777778
1.99054,1.58489,1.25488
1.99054,2.51189,1.3477866666666667
1.99054,3.98107,1.3459155555555555
1.99054,6.30957,1.4021777777777777
1.99054,10,0.0
7.92447,0.001,0.0
7.92447,0.00158489,0.0
7.92447,0.00251189,0.0
7.92447,0.00398107,0.0
7.92447,0.00630957,0.0
7.92447,0.01,0.0
7.92447,0.0158489,0.0
7.92447,0.0251189,0.0
7.92447,0.0398107,0.0
7.92447,0.0630957,0.0
7.92447,0.1,0.0044444444444444444
7.92447,0.158489,0.0044444444444444444
7.92447,0.251189,0.0044444444444444444
7.92447,0.398107,0.5422222222222223
7.92447,0.630957,0.8977777777777778
7.92447,1,1.1352444444444445
7.92447,1.58489,1.281928888888889
7.92447,2.51189,1.361231111111111
7.92447,3.98107,0.0
7.92447,6.30957,0.0
7.92447,10,0.0
31.5479,0.001,0.0
31.5479,0.00158489,0.0
31.5479,0.00251189,0.0
31.5479,0.00398107,0.0
31.5479,0.00630957,0.0
31.5479,0.01,0.0
31.5479,0.0158489,0.0
31.5479,0.0251189,0.0
31.5479,0.0398107,0.0
31.5479,0.0630957,0.0
31.5479,0.1,0.0044444444444444444
