time,initial population 0.0044444444444444444,initial population 0.28444444444444444,initial population 0.5688888888888889,initial population 0.8533333333333334,initial population 1.1377777777777778,initial population 1.4222222222222223,initial population 1.7066666666666668,initial population 1.991111111111111,initial population 2.2755555555555556,initial population 2.5644444444444443,initial population 2.848888888888889,initial population 3.1333333333333333,initial population 3.417777777777778,initial population 3.7022222222222223,initial population 3.986666666666667,initial population 4.271111111111111,initial population 4.555555555555555,initial population 4.844444444444444,initial population 5.128888888888889,initial population 5.413333333333333,initial population 5.697777777777778,initial population 5.982222222222222,initial population 6.266666666666667,initial population 6.551111111111111,initial population 6.835555555555556,initial population 7.124444444444444,initial population 7.408888888888889,initial population 7.693333333333333,initial population 7.977777777777778,initial population 8.262222222222222,initial population 8.546666666666667,initial population 8.831111111111111,initial population 9.115555555555556,initial population 9.404444444444444,initial population 9.688888888888888,initial population 9.973333333333333,initial population 10.257777777777777,initial population 10.542222222222222,initial population 10.826666666666666,initial population 11.11111111111111,initial population 11.395555555555555,initial population 11.684444444444445,initial population 11.96888888888889,initial population 12.253333333333334,initial population 12.537777777777778
0,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.848888888888889,3.1333333333333333,3.417777777777778,3.7022222222222223,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.697777777777778,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.977777777777778,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.257777777777777,10.542222222222222,10.826666666666666,11.11111111111111,11.395555555555555,11.684444444444445,11.96888888888889,12.253333333333334,12.537777777777778
1,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.848888888888889,3.1333333333333333,3.4444444444444446,3.7111111111111112,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.413333333333333,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.982222222222222,8.266666666666667,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.262222222222222,10.542222222222222,10.826666666666666,11.11111111111111,11.395555555555555,11.684444444444445,11.96888888888889,12.253333333333334,12.542222222222222
2,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.5644444444444443,2.848888888888889,3.1333333333333333,3.462222222222222,3.7111111111111112,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.071111111111111,5.982222222222222,6.266666666666667,6.551111111111111,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.266666666666667,8.546666666666667,8.831111111111111,9.115555555555556,9.408888888888889,9.697777777777778,9.973333333333333,10.262222222222222,10.542222222222222,10.826666666666666,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.253333333333334,12.546666666666667
3,0.0044444444444444444,0.28444444444444444,0.5733333333333334,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.5644444444444443,2.848888888888889,3.1333333333333333,3.48,3.7111111111111112,3.991111111111111,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,4.733333333333333,5.977777777777778,6.266666666666667,6.551111111111111,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.266666666666667,8.546666666666667,8.831111111111111,9.115555555555556,9.408888888888889,9.697777777777778,9.973333333333333,10.266666666666667,10.542222222222222,10.826666666666666,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.253333333333334,12.555555555555555
4,0.0044444444444444444,0.28444444444444444,0.5733333333333334,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.568888888888889,2.848888888888889,3.1333333333333333,3.506666666666667,3.7155555555555555,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,4.457777777777777,5.977777777777778,6.266666666666667,6.555555555555555,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.266666666666667,8.546666666666667,8.831111111111111,9.115555555555556,9.408888888888889,9.697777777777778,9.977777777777778,10.275555555555556,10.542222222222222,10.826666666666666,11.11111111111111,11.413333333333334,11.688888888888888,11.96888888888889,12.253333333333334,12.555555555555555
5,0.0044444444444444444,0.28888888888888886,0.5733333333333334,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.568888888888889,2.848888888888889,3.1333333333333333,3.533333333333333,3.7155555555555555,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,4.288888888888889,5.977777777777778,6.266666666666667,6.56,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.266666666666667,8.546666666666667,8.84,9.115555555555556,9.408888888888889,9.697777777777778,9.977777777777778,10.28,10.542222222222222,10.826666666666666,11.11111111111111,11.413333333333334,11.688888888888888,11.96888888888889,12.257777777777777,12.555555555555555
6,0.0044444444444444444,0.28888888888888886,0.5733333333333334,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.568888888888889,2.848888888888889,3.1333333333333333,3.537777777777778,3.72,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,4.137777777777778,5.973333333333334,6.271111111111111,6.56,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.27111111111111,8.546666666666667,8.84,9.115555555555556,9.413333333333334,9.697777777777778,9.977777777777778,10.28,10.542222222222222,10.831111111111111,11.11111111111111,11.417777777777777,11.688888888888888,11.973333333333333,12.257777777777777,12.555555555555555
7,0.0044444444444444444,0.28888888888888886,0.5777777777777777,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.568888888888889,2.8533333333333335,3.1333333333333333,3.5733333333333333,3.7244444444444444,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.408888888888889,4.0088888888888885,5.973333333333334,6.271111111111111,6.568888888888889,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.27111111111111,8.546666666666667,8.84,9.12,9.413333333333334,9.697777777777778,9.977777777777778,10.28,10.542222222222222,10.831111111111111,11.11111111111111,11.417777777777777,11.688888888888888,11.973333333333333,12.257777777777777,12.555555555555555
8,0.0044444444444444444,0.28888888888888886,0.5777777777777777,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.711111111111111,1.991111111111111,2.2844444444444445,2.568888888888889,2.8533333333333335,3.1333333333333333,3.5866666666666664,3.7244444444444444,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.404444444444445,3.897777777777778,5.973333333333334,6.271111111111111,6.568888888888889,6.84,7.128888888888889,7.408888888888889,7.693333333333333,7.986666666666666,8.275555555555556,8.546666666666667,8.84,9.12,9.413333333333334,9.697777777777778,9.977777777777778,10.28,10.542222222222222,10.831111111111111,11.11111111111111,11.422222222222222,11.688888888888888,11.973333333333333,12.257777777777777,12.555555555555555
9,0.0044444444444444444,0.28888888888888886,0.5777777777777777,0.8533333333333334,1.1422222222222222,1.4222222222222223,1.711111111111111,1.991111111111111,2.2844444444444445,2.568888888888889,2.8533333333333335,3.1333333333333333,3.608888888888889,3.7244444444444444,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.404444444444445,3.7644444444444445,5.9688888888888885,6.271111111111111,6.568888888888889,6.84,7.133333333333334,7.417777777777777,7.697777777777778,7.986666666666666,8.275555555555556,8.546666666666667,8.84,9.12,9.413333333333334,9.697777777777778,9.977777777777778,10.28,10.542222222222222,10.831111111111111,11.11111111111111,11.422222222222222,11.688888888888888,11.973333333333333,12.257777777777777,12.555555555555555
