time,initial population 0.0044444444444444444,initial population 0.28444444444444444,initial population 0.5688888888888889,initial population 0.8533333333333334,initial population 1.1377777777777778,initial population 1.4222222222222223,initial population 1.7066666666666668,initial population 1.991111111111111,initial population 2.2755555555555556,initial population 2.5644444444444443,initial population 2.848888888888889,initial population 3.1333333333333333,initial population 3.417777777777778,initial population 3.7022222222222223,initial population 3.986666666666667,initial population 4.271111111111111,initial population 4.555555555555555,initial population 4.844444444444444,initial population 5.128888888888889,initial population 5.413333333333333,initial population 5.697777777777778,initial population 5.982222222222222,initial population 6.266666666666667,initial population 6.551111111111111,initial population 6.835555555555556,initial population 7.124444444444444,initial population 7.408888888888889,initial population 7.693333333333333,initial population 7.977777777777778,initial population 8.262222222222222,initial population 8.546666666666667,initial population 8.831111111111111,initial population 9.115555555555556,initial population 9.404444444444444,initial population 9.688888888888888,initial population 9.973333333333333,initial population 10.257777777777777,initial population 10.542222222222222,initial population 10.826666666666666,initial population 11.11111111111111,initial population 11.395555555555555,initial population 11.684444444444445,initial population 11.96888888888889,initial population 12.253333333333334,initial population 12.537777777777778
0,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.848888888888889,3.1333333333333333,3.417777777777778,3.7022222222222223,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.697777777777778,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.977777777777778,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.257777777777777,10.542222222222222,10.826666666666666,11.11111111111111,11.395555555555555,11.684444444444445,11.96888888888889,12.253333333333334,12.537777777777778
1,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.56,2.8444444444444446,3.1333333333333333,3.417777777777778,3.7022222222222223,3.986666666666667,4.266666666666667,4.546666666666667,4.817777777777778,5.022222222222222,5.208888888888889,0.0,5.977777777777778,6.257777777777778,6.533333333333333,6.831111111111111,7.111111111111111,7.404444444444445,7.68,7.9688888888888885,8.24,8.528888888888888,8.804444444444444,9.093333333333334,9.391111111111112,9.675555555555556,9.95111111111111,10.231111111111112,10.524444444444445,10.813333333333333,11.088888888888889,11.382222222222222,11.671111111111111,11.937777777777777,12.222222222222221,12.515555555555556
2,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4177777777777778,1.7066666666666668,1.9866666666666666,2.2711111111111113,2.56,2.84,3.128888888888889,3.417777777777778,3.7022222222222223,3.986666666666667,4.266666666666667,4.528888888888889,4.782222222222222,4.866666666666666,4.924444444444444,0.0,5.96,6.248888888888889,6.528888888888889,6.822222222222222,7.093333333333334,7.391111111111111,7.662222222222222,7.9511111111111115,8.231111111111112,8.511111111111111,8.79111111111111,9.08,9.377777777777778,9.657777777777778,9.937777777777777,10.217777777777778,10.506666666666666,10.804444444444444,11.057777777777778,11.342222222222222,11.648888888888889,11.915555555555555,12.195555555555556,12.48
3,0.0044444444444444444,0.28444444444444444,0.5644444444444444,0.8533333333333334,1.1377777777777778,1.4133333333333333,1.7066666666666668,1.9866666666666666,2.2711111111111113,2.56,2.831111111111111,3.1155555555555554,3.417777777777778,3.7022222222222223,3.986666666666667,4.266666666666667,4.515555555555555,4.728888888888889,4.782222222222222,4.5377777777777775,0.0,5.942222222222222,6.226666666666667,6.506666666666667,6.808888888888889,7.071111111111111,7.373333333333333,7.631111111111111,7.942222222222222,8.195555555555556,8.484444444444444,8.773333333333333,9.04888888888889,9.373333333333333,9.648888888888889,9.924444444444445,10.195555555555556,10.471111111111112,10.79111111111111,11.044444444444444,11.284444444444444,11.63111111111111,11.884444444444444,12.164444444444445,12.453333333333333
4,0.0044444444444444444,0.28444444444444444,0.5644444444444444,0.8488888888888889,1.1377777777777778,1.4088888888888889,1.7066666666666668,1.9822222222222223,2.2666666666666666,2.551111111111111,2.8222222222222224,3.088888888888889,3.417777777777778,3.7022222222222223,3.986666666666667,4.257777777777778,4.488888888888889,4.688888888888889,4.595555555555555,4.075555555555556,0.0,5.906666666666666,6.222222222222222,6.475555555555555,6.773333333333333,7.044444444444444,7.351111111111111,7.608888888888889,7.928888888888889,8.155555555555555,8.453333333333333,8.742222222222223,9.026666666666667,9.36,9.613333333333333,9.88888888888889,10.151111111111112,10.444444444444445,10.755555555555556,10.995555555555555,11.257777777777777,11.595555555555556,11.853333333333333,12.115555555555556,12.408888888888889
5,0.0044444444444444444,0.28,0.56,0.8488888888888889,1.1333333333333333,1.4088888888888889,1.6977777777777778,1.9822222222222223,2.2488888888888887,2.546666666666667,2.8044444444444445,3.0755555555555554,3.417777777777778,3.7022222222222223,3.982222222222222,4.257777777777778,4.453333333333333,4.586666666666667,4.44,3.4844444444444442,0.0,5.857777777777778,6.213333333333333,6.448888888888889,6.764444444444444,6.9688888888888885,7.311111111111111,7.591111111111111,7.888888888888889,8.115555555555556,8.417777777777777,8.693333333333333,9.008888888888889,9.311111111111112,9.586666666666666,9.853333333333333,10.088888888888889,10.386666666666667,10.733333333333333,10.946666666666667,11.217777777777778,11.564444444444444,11.826666666666666,12.066666666666666,12.36888888888889
6,0.0044444444444444444,0.28,0.56,0.8488888888888889,1.1333333333333333,1.4088888888888889,1.6977777777777778,1.9777777777777779,2.24,2.528888888888889,2.8044444444444445,3.062222222222222,3.417777777777778,3.7022222222222223,3.982222222222222,4.248888888888889,4.417777777777777,4.546666666666667,4.204444444444444,2.493333333333333,0.0,5.84,6.191111111111111,6.408888888888889,6.733333333333333,6.915555555555556,7.262222222222222,7.555555555555555,7.866666666666666,8.066666666666666,8.386666666666667,8.626666666666667,8.986666666666666,9.28,9.568888888888889,9.795555555555556,10.044444444444444,10.342222222222222,10.68,10.87111111111111,11.124444444444444,11.524444444444445,11.8,12.013333333333334,12.311111111111112
7,0.0044444444444444444,0.27555555555555555,0.56,0.8488888888888889,1.1244444444444444,1.4,1.6977777777777778,1.9733333333333334,2.2355555555555555,2.528888888888889,2.7955555555555556,3.0444444444444443,3.417777777777778,3.7022222222222223,3.982222222222222,4.24,4.373333333333333,4.386666666666667,4.017777777777778,2.008888888888889,0.0,5.773333333333333,6.142222222222222,6.36,6.697777777777778,6.88,7.222222222222222,7.502222222222223,7.831111111111111,8.035555555555556,8.333333333333334,8.56,8.955555555555556,9.248888888888889,9.524444444444445,9.742222222222223,9.991111111111111,10.297777777777778,10.622222222222222,10.804444444444444,11.066666666666666,11.466666666666667,11.755555555555556,11.942222222222222,12.226666666666667
8,0.0044444444444444444,0.27555555555555555,0.56,0.8444444444444444,1.1155555555555556,1.3955555555555557,1.6888888888888889,1.968888888888889,2.2311111111111113,2.506666666666667,2.7644444444444445,3.017777777777778,3.417777777777778,3.7022222222222223,3.982222222222222,4.226666666666667,4.328888888888889,4.262222222222222,3.7244444444444444,1.5022222222222221,0.0,5.711111111111111,6.093333333333334,6.328888888888889,6.671111111111111,6.848888888888889,7.182222222222222,7.457777777777777,7.76,7.977777777777778,8.302222222222222,8.52,8.866666666666667,9.182222222222222,9.453333333333333,9.693333333333333,9.911111111111111,10.248888888888889,10.555555555555555,10.737777777777778,10.986666666666666,11.391111111111112,11.688888888888888,11.84,12.16
9,0.0044444444444444444,0.27111111111111114,0.56,0.84,1.1155555555555556,1.3911111111111112,1.68,1.9644444444444444,2.2222222222222223,2.502222222222222,2.7511111111111113,2.9955555555555557,3.417777777777778,3.7022222222222223,3.982222222222222,4.208888888888889,4.28,4.124444444444444,3.52,1.0622222222222222,0.0,5.6,6.044444444444444,6.266666666666667,6.622222222222222,6.786666666666667,7.133333333333334,7.426666666666667,7.693333333333333,7.937777777777778,8.222222222222221,8.466666666666667,8.795555555555556,9.133333333333333,9.382222222222222,9.635555555555555,9.826666666666666,10.204444444444444,10.471111111111112,10.675555555555556,10.902222222222223,11.32,11.591111111111111,11.751111111111111,12.062222222222223
