time,initial population 0.0044444444444444444,initial population 0.28444444444444444,initial population 0.5688888888888889,initial population 0.8533333333333334,initial population 1.1377777777777778,initial population 1.4222222222222223,initial population 1.7066666666666668,initial population 1.991111111111111,initial population 2.2755555555555556,initial population 2.5644444444444443,initial population 2.848888888888889,initial population 3.1333333333333333,initial population 3.417777777777778,initial population 3.7022222222222223,initial population 3.986666666666667,initial population 4.271111111111111,initial population 4.555555555555555,initial population 4.844444444444444,initial population 5.128888888888889,initial population 5.413333333333333,initial population 5.697777777777778,initial population 5.982222222222222,initial population 6.266666666666667,initial population 6.551111111111111,initial population 6.835555555555556,initial population 7.124444444444444,initial population 7.408888888888889,initial population 7.693333333333333,initial population 7.977777777777778,initial population 8.262222222222222,initial population 8.546666666666667,initial population 8.831111111111111,initial population 9.115555555555556,initial population 9.404444444444444,initial population 9.688888888888888,initial population 9.973333333333333,initial population 10.257777777777777,initial population 10.542222222222222,initial population 10.826666666666666,initial population 11.11111111111111,initial population 11.395555555555555,initial population 11.684444444444445,initial population 11.96888888888889,initial population 12.253333333333334,initial population 12.537777777777778
0,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.848888888888889,3.1333333333333333,3.417777777777778,3.7022222222222223,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.697777777777778,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.977777777777778,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.257777777777777,10.542222222222222,10.826666666666666,11.11111111111111,11.395555555555555,11.684444444444445,11.96888888888889,12.253333333333334,12.537777777777778
1,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.8533333333333335,3.1333333333333333,3.4355555555555557,3.7022222222222223,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.408888888888889,3.1911111111111112,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.977777777777778,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.262222222222222,10.542222222222222,10.826666666666666,11.11111111111111,11.395555555555555,11.684444444444445,11.96888888888889,12.253333333333334,12.542222222222222
2,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.8533333333333335,3.137777777777778,3.4444444444444446,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.844444444444444,5.128888888888889,5.408888888888889,1.3288888888888888,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.982222222222222,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.262222222222222,10.542222222222222,10.826666666666666,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.253333333333334,12.546666666666667
3,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.8533333333333335,3.137777777777778,3.453333333333333,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.844444444444444,5.128888888888889,5.395555555555555,0.6844444444444444,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.128888888888889,7.408888888888889,7.693333333333333,7.982222222222222,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.262222222222222,10.546666666666667,10.826666666666666,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.257777777777777,12.551111111111112
4,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8533333333333334,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.8533333333333335,3.137777777777778,3.471111111111111,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.844444444444444,5.128888888888889,5.395555555555555,0.5244444444444445,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.546666666666667,8.831111111111111,9.12,9.404444444444444,9.688888888888888,9.977777777777778,10.262222222222222,10.546666666666667,10.822222222222223,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.257777777777777,12.551111111111112
5,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.8533333333333335,3.137777777777778,3.48,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.84,5.128888888888889,5.395555555555555,0.36,5.982222222222222,6.271111111111111,6.551111111111111,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.546666666666667,8.831111111111111,9.12,9.404444444444444,9.688888888888888,9.977777777777778,10.266666666666667,10.546666666666667,10.822222222222223,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.262222222222222,12.551111111111112
6,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.8533333333333335,3.137777777777778,3.4844444444444442,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.84,5.128888888888889,5.395555555555555,0.27111111111111114,5.973333333333334,6.271111111111111,6.551111111111111,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.551111111111112,8.831111111111111,9.12,9.404444444444444,9.688888888888888,9.982222222222223,10.266666666666667,10.546666666666667,10.826666666666666,11.11111111111111,11.4,11.688888888888888,11.96888888888889,12.262222222222222,12.551111111111112
7,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.5644444444444443,2.8533333333333335,3.137777777777778,3.488888888888889,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.84,5.124444444444444,5.395555555555555,0.21333333333333335,5.9688888888888885,6.271111111111111,6.551111111111111,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.551111111111112,8.831111111111111,9.12,9.408888888888889,9.688888888888888,9.982222222222223,10.266666666666667,10.546666666666667,10.826666666666666,11.11111111111111,11.4,11.688888888888888,11.96888888888889,12.262222222222222,12.551111111111112
8,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.991111111111111,2.28,2.5644444444444443,2.8533333333333335,3.137777777777778,3.493333333333333,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.84,5.124444444444444,5.391111111111111,0.15555555555555556,5.9688888888888885,6.271111111111111,6.551111111111111,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.551111111111112,8.831111111111111,9.12,9.408888888888889,9.688888888888888,9.982222222222223,10.27111111111111,10.551111111111112,10.826666666666666,11.11111111111111,11.4,11.688888888888888,11.96888888888889,12.262222222222222,12.551111111111112
9,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8622222222222222,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.9955555555555555,2.28,2.5644444444444443,2.8533333333333335,3.137777777777778,3.511111111111111,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.84,5.124444444444444,5.391111111111111,0.09777777777777778,5.964444444444444,6.271111111111111,6.555555555555555,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.551111111111112,8.831111111111111,9.12,9.413333333333334,9.688888888888888,9.982222222222223,10.27111111111111,10.551111111111112,10.826666666666666,11.11111111111111,11.4,11.688888888888888,11.96888888888889,12.262222222222222,12.551111111111112
10,0.0044444444444444444,0.28888888888888886,0.5688888888888889,0.8622222222222222,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.9955555555555555,2.28,2.5644444444444443,2.8533333333333335,3.137777777777778,3.52,3.7155555555555555,3.986666666666667,4.275555555555556,4.555555555555555,4.84,5.124444444444444,5.386666666666667,0.09333333333333334,5.964444444444444,6.271111111111111,6.555555555555555,6.835555555555556,7.128888888888889,7.413333333333333,7.693333333333333,7.982222222222222,8.262222222222222,8.551111111111112,8.831111111111111,9.12,9.413333333333334,9.693333333333333,9.982222222222223,10.27111111111111,10.551111111111112,10.826666666666666,11.11111111111111,11.4,11.688888888888888,11.96888888888889,12.262222222222222,12.551111111111112
