time,initial population 0.0044444444444444444,initial population 0.28444444444444444,initial population 0.5688888888888889,initial population 0.8533333333333334,initial population 1.1377777777777778,initial population 1.4222222222222223,initial population 1.7066666666666668,initial population 1.991111111111111,initial population 2.2755555555555556,initial population 2.5644444444444443,initial population 2.848888888888889,initial population 3.1333333333333333,initial population 3.417777777777778,initial population 3.7022222222222223,initial population 3.986666666666667,initial population 4.271111111111111,initial population 4.555555555555555,initial population 4.844444444444444,initial population 5.128888888888889,initial population 5.413333333333333,initial population 5.697777777777778,initial population 5.982222222222222,initial population 6.266666666666667,initial population 6.551111111111111,initial population 6.835555555555556,initial population 7.124444444444444,initial population 7.408888888888889,initial population 7.693333333333333,initial population 7.977777777777778,initial population 8.262222222222222,initial population 8.546666666666667,initial population 8.831111111111111,initial population 9.115555555555556,initial population 9.404444444444444,initial population 9.688888888888888,initial population 9.973333333333333,initial population 10.257777777777777,initial population 10.542222222222222,initial population 10.826666666666666,initial population 11.11111111111111,initial population 11.395555555555555,initial population 11.684444444444445,initial population 11.96888888888889,initial population 12.253333333333334,initial population 12.537777777777778
0,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1377777777777778,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.848888888888889,3.1333333333333333,3.417777777777778,3.7022222222222223,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.697777777777778,5.982222222222222,6.266666666666667,6.551111111111111,6.835555555555556,7.124444444444444,7.408888888888889,7.693333333333333,7.977777777777778,8.262222222222222,8.546666666666667,8.831111111111111,9.115555555555556,9.404444444444444,9.688888888888888,9.973333333333333,10.257777777777777,10.542222222222222,10.826666666666666,11.11111111111111,11.395555555555555,11.684444444444445,11.96888888888889,12.253333333333334,12.537777777777778
1,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1422222222222222,1.4222222222222223,1.7066666666666668,1.991111111111111,2.2755555555555556,2.5644444444444443,2.848888888888889,3.1333333333333333,3.448888888888889,3.7022222222222223,3.986666666666667,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,5.231111111111111,5.982222222222222,6.266666666666667,6.555555555555555,6.835555555555556,7.124444444444444,7.408888888888889,7.697777777777778,7.977777777777778,8.27111111111111,8.551111111111112,8.831111111111111,9.115555555555556,9.408888888888889,9.688888888888888,9.973333333333333,10.257777777777777,10.542222222222222,10.826666666666666,11.11111111111111,11.4,11.684444444444445,11.96888888888889,12.253333333333334,12.542222222222222
2,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8533333333333334,1.1422222222222222,1.4266666666666667,1.7066666666666668,1.991111111111111,2.2755555555555556,2.568888888888889,2.848888888888889,3.1333333333333333,3.471111111111111,3.7022222222222223,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,4.644444444444445,5.982222222222222,6.266666666666667,6.555555555555555,6.835555555555556,7.124444444444444,7.408888888888889,7.702222222222222,7.977777777777778,8.275555555555556,8.555555555555555,8.831111111111111,9.115555555555556,9.408888888888889,9.688888888888888,9.973333333333333,10.257777777777777,10.542222222222222,10.826666666666666,11.11111111111111,11.404444444444444,11.684444444444445,11.96888888888889,12.253333333333334,12.542222222222222
3,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4266666666666667,1.7066666666666668,1.991111111111111,2.2755555555555556,2.568888888888889,2.848888888888889,3.1333333333333333,3.48,3.7111111111111112,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,4.0488888888888885,5.982222222222222,6.266666666666667,6.555555555555555,6.835555555555556,7.128888888888889,7.408888888888889,7.702222222222222,7.977777777777778,8.275555555555556,8.555555555555555,8.831111111111111,9.115555555555556,9.408888888888889,9.693333333333333,9.973333333333333,10.262222222222222,10.542222222222222,10.831111111111111,11.11111111111111,11.404444444444444,11.684444444444445,11.973333333333333,12.253333333333334,12.542222222222222
4,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4266666666666667,1.7066666666666668,1.991111111111111,2.2755555555555556,2.568888888888889,2.8533333333333335,3.1333333333333333,3.52,3.72,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,3.6533333333333333,5.982222222222222,6.266666666666667,6.56,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.982222222222222,8.275555555555556,8.555555555555555,8.831111111111111,9.115555555555556,9.413333333333334,9.697777777777778,9.973333333333333,10.262222222222222,10.542222222222222,10.831111111111111,11.11111111111111,11.404444444444444,11.684444444444445,11.977777777777778,12.253333333333334,12.542222222222222
5,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4266666666666667,1.7066666666666668,1.991111111111111,2.2755555555555556,2.568888888888889,2.8533333333333335,3.1333333333333333,3.542222222222222,3.7288888888888887,3.9955555555555557,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.413333333333333,3.2044444444444444,5.982222222222222,6.266666666666667,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.982222222222222,8.275555555555556,8.555555555555555,8.835555555555555,9.115555555555556,9.413333333333334,9.697777777777778,9.973333333333333,10.266666666666667,10.542222222222222,10.831111111111111,11.115555555555556,11.408888888888889,11.684444444444445,11.982222222222223,12.262222222222222,12.542222222222222
6,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1422222222222222,1.4266666666666667,1.711111111111111,1.991111111111111,2.2755555555555556,2.568888888888889,2.8533333333333335,3.1333333333333333,3.56,3.7333333333333334,4.0,4.271111111111111,4.555555555555555,4.844444444444444,5.128888888888889,5.408888888888889,2.9066666666666667,5.982222222222222,6.266666666666667,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.986666666666666,8.275555555555556,8.555555555555555,8.84,9.115555555555556,9.413333333333334,9.702222222222222,9.973333333333333,10.266666666666667,10.542222222222222,10.831111111111111,11.115555555555556,11.408888888888889,11.684444444444445,11.986666666666666,12.262222222222222,12.551111111111112
7,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1466666666666667,1.4266666666666667,1.711111111111111,1.991111111111111,2.2755555555555556,2.568888888888889,2.8577777777777778,3.1333333333333333,3.577777777777778,3.7333333333333334,4.0,4.271111111111111,4.555555555555555,4.844444444444444,5.124444444444444,5.408888888888889,2.7066666666666666,5.982222222222222,6.266666666666667,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.986666666666666,8.275555555555556,8.555555555555555,8.844444444444445,9.115555555555556,9.422222222222222,9.702222222222222,9.973333333333333,10.266666666666667,10.542222222222222,10.831111111111111,11.12,11.413333333333334,11.684444444444445,11.986666666666666,12.262222222222222,12.551111111111112
8,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1466666666666667,1.4266666666666667,1.711111111111111,1.991111111111111,2.2755555555555556,2.568888888888889,2.8577777777777778,3.1333333333333333,3.5866666666666664,3.7333333333333334,4.004444444444444,4.271111111111111,4.555555555555555,4.844444444444444,5.124444444444444,5.408888888888889,2.537777777777778,5.982222222222222,6.271111111111111,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.986666666666666,8.275555555555556,8.555555555555555,8.844444444444445,9.115555555555556,9.422222222222222,9.702222222222222,9.973333333333333,10.266666666666667,10.542222222222222,10.831111111111111,11.12,11.413333333333334,11.684444444444445,11.986666666666666,12.266666666666667,12.551111111111112
9,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1466666666666667,1.4266666666666667,1.711111111111111,1.991111111111111,2.2755555555555556,2.568888888888889,2.8577777777777778,3.1333333333333333,3.6133333333333333,3.7333333333333334,4.0088888888888885,4.271111111111111,4.555555555555555,4.844444444444444,5.124444444444444,5.408888888888889,2.4,5.982222222222222,6.275555555555556,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.986666666666666,8.275555555555556,8.555555555555555,8.844444444444445,9.115555555555556,9.422222222222222,9.702222222222222,9.973333333333333,10.266666666666667,10.542222222222222,10.831111111111111,11.12,11.413333333333334,11.684444444444445,11.986666666666666,12.266666666666667,12.555555555555555
10,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8577777777777778,1.1466666666666667,1.4266666666666667,1.711111111111111,1.991111111111111,2.2755555555555556,2.568888888888889,2.8577777777777778,3.1333333333333333,3.617777777777778,3.7333333333333334,4.0088888888888885,4.271111111111111,4.555555555555555,4.844444444444444,5.124444444444444,5.404444444444445,2.2755555555555556,5.982222222222222,6.275555555555556,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.986666666666666,8.275555555555556,8.555555555555555,8.844444444444445,9.12,9.422222222222222,9.702222222222222,9.973333333333333,10.27111111111111,10.542222222222222,10.831111111111111,11.12,11.413333333333334,11.684444444444445,11.986666666666666,12.266666666666667,12.56
12,0.0044444444444444444,0.28444444444444444,0.5688888888888889,0.8666666666666667,1.1466666666666667,1.4266666666666667,1.7155555555555555,1.991111111111111,2.2755555555555556,2.5733333333333333,2.8577777777777778,3.1333333333333333,3.6533333333333333,3.7422222222222223,4.0088888888888885,4.271111111111111,4.555555555555555,4.844444444444444,5.124444444444444,5.395555555555555,2.12,5.977777777777778,6.275555555555556,6.564444444444445,6.84,7.128888888888889,7.408888888888889,7.702222222222222,7.9911111111111115,8.275555555555556,8.564444444444444,8.844444444444445,9.12,9.422222222222222,9.702222222222222,9.973333333333333,10.27111111111111,10.542222222222222,10.831111111111111,11.12,11.413333333333334,11.684444444444445,11.991111111111111,12.27111111111111,12.56
